128
volMax pesoMax custo
387 324 22065
257 315 22601
280 361 18582
309 348 15177
387 351 19568
396 369 19868
326 360 18531
293 366 19903
368 387 21352
256 318 20146
378 302 20969
306 309 23370
321 337 19836
376 396 18429
303 381 13002
260 374 19810
366 299 23407
361 340 21724
289 305 19187
317 311 20705
389 286 23193
382 342 20554
289 260 21097
307 387 13593
268 287 15369
333 298 16219
364 263 19642
352 374 17394
306 260 23651
395 328 21963
250 314 19349
308 295 13575
270 334 14243
321 389 19927
365 256 21505
388 338 22831
383 299 22189
277 400 15387
258 303 20629
295 297 19376
390 297 23067
371 353 14358
292 373 17633
373 293 18707
289 255 18717
392 393 17666
391 376 23941
251 250 21058
385 256 22034
378 299 21757
296 289 20925
278 259 14140
303 299 13248
259 272 19339
352 311 21707
300 302 18431
335 293 14306
268 292 22982
349 276 19248
334 253 13757
364 297 19763
288 323 21018
317 374 18097
316 383 16536
358 334 23262
250 383 21466
288 317 16689
297 335 22412
306 283 22715
322 365 18222
387 326 22314
340 364 15455
300 278 21599
309 344 15776
341 299 14990
281 299 13661
273 336 20747
307 383 13292
383 289 19237
332 361 13719
283 347 16794
284 284 18081
356 334 16005
252 391 13529
278 329 18569
389 360 19950
330 382 13380
339 288 14179
279 268 22608
251 348 18025
337 382 14063
349 263 13193
321 369 16426
322 369 13269
263 398 15841
254 384 14523
292 313 15065
265 400 21157
369 277 19613
362 278 13141
312 365 13971
358 311 21695
288 381 18885
299 300 22725
300 313 17684
380 315 24059
269 357 24205
288 370 14572
343 339 18049
265 298 15561
284 360 14834
281 317 23956
292 354 14110
268 252 15192
364 300 16432
306 279 16394
380 297 15019
365 335 19696
349 276 17589
358 289 14015
395 321 18291
394 353 17468
302 393 18745
339 258 22834
277 373 22997
277 276 13491
342 254 15723
363 369 13452
